# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "-B" "-C" "-O" "-t" "gene" "-g" "locus_tag" "-a" "reference/S_aureus.gff" "-o" "counts/count.txt" "IGV/SRR20959676_GSM6435908_C-PJI04_Staphylococcus_aureus_RNA-Seq_sorted.bam" "IGV/SRR20959677_GSM6435907_C-PJI03_Staphylococcus_aureus_RNA-Seq_sorted.bam" "IGV/SRR20959678_GSM6435906_C-PJI02_Staphylococcus_aureus_RNA-Seq_sorted.bam" "IGV/SRR20959679_GSM6435905_C-PJI01_Staphylococcus_aureus_RNA-Seq_sorted.bam" "IGV/SRR20959680_GSM6435904_A-PJI04_Staphylococcus_aureus_RNA-Seq_sorted.bam" "IGV/SRR20959681_GSM6435903_A-PJI03_Staphylococcus_aureus_RNA-Seq_sorted.bam" "IGV/SRR20959682_GSM6435902_A-PJI02_Staphylococcus_aureus_RNA-Seq_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	IGV/SRR20959676_GSM6435908_C-PJI04_Staphylococcus_aureus_RNA-Seq_sorted.bam	IGV/SRR20959677_GSM6435907_C-PJI03_Staphylococcus_aureus_RNA-Seq_sorted.bam	IGV/SRR20959678_GSM6435906_C-PJI02_Staphylococcus_aureus_RNA-Seq_sorted.bam	IGV/SRR20959679_GSM6435905_C-PJI01_Staphylococcus_aureus_RNA-Seq_sorted.bam	IGV/SRR20959680_GSM6435904_A-PJI04_Staphylococcus_aureus_RNA-Seq_sorted.bam	IGV/SRR20959681_GSM6435903_A-PJI03_Staphylococcus_aureus_RNA-Seq_sorted.bam	IGV/SRR20959682_GSM6435902_A-PJI02_Staphylococcus_aureus_RNA-Seq_sorted.bam
SAOUHSC_00056	NC_007795.1	58855	61053	+	2199	110	46	34	72	96	117	170
SAOUHSC_00057	NC_007795.1	61204	62382	+	1179	122	2	0	96	110	42	39
SAOUHSC_00058	NC_007795.1	62384	63772	+	1389	228	36	45	334	220	132	51
SAOUHSC_00060	NC_007795.1	64265	65926	-	1662	475	71	274	277	287	300	1930
SAOUHSC_00061	NC_007795.1	66252	68027	-	1776	563	33	192	531	182	45	94
SAOUHSC_00062	NC_007795.1	68201	69073	-	873	0	0	0	2	0	0	1
SAOUHSC_00064	NC_007795.1	69186	70583	+	1398	1	1	0	2	3	3	1
SAOUHSC_00065	NC_007795.1	70773	71246	+	474	2	0	21	7	26	13	1
SAOUHSC_00067	NC_007795.1	71508	73100	+	1593	103	18	51	96	66	36	338
SAOUHSC_00069	NC_007795.1	73429	74979	-	1551	155	30	285	4	40	54	663
SAOUHSC_00070	NC_007795.1	75400	76152	-	753	22	4	113	7	12	6	19
SAOUHSC_00071	NC_007795.1	76521	77435	-	915	39	9	10	11	8	4	44
SAOUHSC_00072	NC_007795.1	77516	78511	-	996	12	4	2	27	9	10	48
SAOUHSC_00074	NC_007795.1	78527	79519	-	993	2	2	8	1	12	8	6
SAOUHSC_00075	NC_007795.1	79885	80730	+	846	1	0	0	0	0	1	4
SAOUHSC_00076	NC_007795.1	80727	81737	+	1011	4	0	0	1	3	3	8
SAOUHSC_00077	NC_007795.1	81758	83512	+	1755	15	0	6	14	6	12	46
SAOUHSC_00078	NC_007795.1	83505	84761	+	1257	28	0	36	19	9	2	35
SAOUHSC_00079	NC_007795.1	84751	86487	+	1737	5	0	19	22	4	9	75
SAOUHSC_00080	NC_007795.1	86396	88246	+	1851	37	7	46	12	20	12	93
SAOUHSC_00081	NC_007795.1	88221	88997	+	777	57	2	11	8	43	30	26
SAOUHSC_00082	NC_007795.1	88997	90199	+	1203	35	10	16	17	14	14	14
SAOUHSC_00083	NC_007795.1	90203	90967	+	765	6	1	6	0	0	0	8
SAOUHSC_00084	NC_007795.1	91163	91570	+	408	6	0	0	0	0	0	0
SAOUHSC_00085	NC_007795.1	91620	92246	+	627	2	0	0	0	1	0	0
SAOUHSC_00086	NC_007795.1	92458	93234	+	777	17462	1509	6293	21906	12922	4166	7343
SAOUHSC_00087	NC_007795.1	93378	93500	+	123	0	0	0	0	0	0	0
SAOUHSC_00088	NC_007795.1	93570	94550	+	981	3	1	4	0	1	4	0
SAOUHSC_00089	NC_007795.1	94513	95205	+	693	0	0	8	0	3	0	0
SAOUHSC_00090	NC_007795.1	95415	96581	+	1167	4	1	1	3	6	4	0
SAOUHSC_00091	NC_007795.1	96562	97800	+	1239	0	0	1	0	1	0	6
SAOUHSC_00092	NC_007795.1	97790	99220	+	1431	10	22	16	15	26	37	44
SAOUHSC_00093	NC_007795.1	99488	100087	+	600	7	0	2	0	8	6	15
SAOUHSC_00094	NC_007795.1	100455	101054	+	600	1287	48	218	132	150	23	1
SAOUHSC_00096	NC_007795.1	101370	102125	-	756	134	41	101	30	56	32	128
SAOUHSC_00097	NC_007795.1	102361	103068	+	708	29	11	20	14	0	5	58
SAOUHSC_00099	NC_007795.1	103075	104427	+	1353	48	5	113	75	34	18	106
SAOUHSC_00100	NC_007795.1	104508	105170	+	663	120	13	150	199	73	44	443
SAOUHSC_00101	NC_007795.1	105198	106376	+	1179	661	230	428	678	680	242	2448
SAOUHSC_00102	NC_007795.1	106507	107322	-	816	35	4	0	6	14	4	99
SAOUHSC_00103	NC_007795.1	107319	108119	-	801	30	17	10	12	28	11	151
SAOUHSC_00104	NC_007795.1	108121	108894	-	774	20	2	0	0	14	2	53
SAOUHSC_00105	NC_007795.1	109108	110064	-	957	6	0	8	4	0	2	45
SAOUHSC_00106	NC_007795.1	110293	111837	+	1545	20	16	2	4	28	6	77
SAOUHSC_00107	NC_007795.1	111888	113423	+	1536	14	20	14	38	71	30	130
SAOUHSC_00108	NC_007795.1	113507	113710	+	204	2	0	1	3	0	2	0
SAOUHSC_00109	NC_007795.1	114083	114568	+	486	0	0	0	0	0	0	4
SAOUHSC_00111	NC_007795.1	114927	115214	+	288	0	0	0	0	0	0	0
SAOUHSC_00113	NC_007795.1	116538	119147	+	2610	64	8	79	41	32	18	458
SAOUHSC_00114	NC_007795.1	119492	120160	+	669	52	12	9	29	24	0	41
SAOUHSC_00115	NC_007795.1	120176	120862	+	687	451	132	223	733	502	28	496
SAOUHSC_00116	NC_007795.1	120865	121629	+	765	68	55	29	88	99	13	112
SAOUHSC_00117	NC_007795.1	121649	123472	+	1824	366	30	145	200	98	12	136
SAOUHSC_00118	NC_007795.1	123462	124490	+	1029	128	22	17	70	102	4	249
SAOUHSC_00119	NC_007795.1	124503	125612	+	1110	262	43	218	155	143	4	211
SAOUHSC_00120	NC_007795.1	125616	126740	+	1125	211	90	141	174	117	0	126
SAOUHSC_00121	NC_007795.1	126743	127369	+	627	4	46	10	55	74	0	1
SAOUHSC_00122	NC_007795.1	127374	128483	+	1110	2	77	105	37	88	4	0
SAOUHSC_00123	NC_007795.1	128497	129663	+	1167	0	23	130	43	92	1	3
SAOUHSC_00124	NC_007795.1	129656	130861	+	1206	8	26	129	20	33	1	6
SAOUHSC_00125	NC_007795.1	130862	132067	+	1206	550	75	144	353	410	9	94
SAOUHSC_00126	NC_007795.1	132078	132635	+	558	48	27	26	25	40	2	24
SAOUHSC_00127	NC_007795.1	132635	133522	+	888	1025	225	284	701	706	22	513
SAOUHSC_00128	NC_007795.1	133576	134838	+	1263	750	292	238	440	453	20	564
SAOUHSC_00129	NC_007795.1	134915	136060	+	1146	243	47	29	134	172	6	99
SAOUHSC_00130	NC_007795.1	136125	136451	-	327	8	8	0	2	0	1	9
SAOUHSC_00131	NC_007795.1	136458	136841	-	384	12	10	1	2	0	1	2
SAOUHSC_00132	NC_007795.1	137268	138755	+	1488	16277	1346	4721	7538	9919	11123	23053
SAOUHSC_00133	NC_007795.1	139401	140360	+	960	281	101	65	137	177	74	208
SAOUHSC_00134	NC_007795.1	140422	140625	-	204	40	44	3	124	158	111	68
SAOUHSC_00135	NC_007795.1	140804	141316	+	513	3	3	0	9	5	3	8
SAOUHSC_00136	NC_007795.1	141658	142398	+	741	24	3	5	2	11	4	2
SAOUHSC_00137	NC_007795.1	142412	143386	+	975	32	13	0	2	7	6	15
SAOUHSC_00138	NC_007795.1	143383	144144	+	762	4	9	9	2	8	2	17
SAOUHSC_00139	NC_007795.1	144157	145188	+	1032	20	2	19	11	12	5	6
SAOUHSC_00141	NC_007795.1	145405	145764	+	360	134	25	20	168	134	40	0
SAOUHSC_00142	NC_007795.1	145937	146962	+	1026	56	13	36	22	38	8	1
SAOUHSC_00143	NC_007795.1	147348	148598	+	1251	33	10	20	4	2	4	0
SAOUHSC_00144	NC_007795.1	149045	156220	+	7176	888	249	661	1100	928	938	3850
SAOUHSC_00145	NC_007795.1	156233	156877	+	645	56	0	20	46	50	20	548
SAOUHSC_00146	NC_007795.1	157205	157684	-	480	1251	34	8	276	417	164	211
SAOUHSC_00147	NC_007795.1	157954	158718	-	765	144	1	8	20	24	5	24
SAOUHSC_00148	NC_007795.1	158734	159975	-	1242	0	6	43	28	14	13	17
SAOUHSC_00149	NC_007795.1	159987	161018	-	1032	6	4	2	2	2	2	18
SAOUHSC_00150	NC_007795.1	161057	162241	-	1185	46	6	36	8	15	14	19
SAOUHSC_00151	NC_007795.1	162494	163849	-	1356	12	3	18	11	0	6	90
SAOUHSC_00152	NC_007795.1	164125	164622	-	498	88	21	76	94	134	82	25
SAOUHSC_00153	NC_007795.1	164749	166389	-	1641	1166	100	762	618	821	704	4983
SAOUHSC_00154	NC_007795.1	166583	166684	+	102	1	0	0	0	0	0	0
SAOUHSC_00155	NC_007795.1	166663	168660	-	1998	102	28	71	87	24	43	170
SAOUHSC_00156	NC_007795.1	169309	170349	+	1041	48	82	84	217	136	75	379
SAOUHSC_00157	NC_007795.1	170349	171245	+	897	29	20	38	73	52	32	327
SAOUHSC_00158	NC_007795.1	171257	172711	+	1455	18	75	189	51	114	19	345
SAOUHSC_00160	NC_007795.1	172714	173589	+	876	140	141	362	116	226	136	1551
SAOUHSC_00161	NC_007795.1	173783	174064	-	282	6	0	0	0	1	1	1
SAOUHSC_00162	NC_007795.1	174277	177066	+	2790	29	15	27	11	14	25	21
SAOUHSC_00163	NC_007795.1	177271	178113	+	843	12	0	34	0	2	2	19
SAOUHSC_00164	NC_007795.1	178115	179038	+	924	0	0	1	1	0	23	6
SAOUHSC_00166	NC_007795.1	179025	180137	+	1113	0	0	0	0	0	13	4
SAOUHSC_00167	NC_007795.1	180402	181994	-	1593	103	10	15	71	103	43	129
SAOUHSC_00168	NC_007795.1	181951	183429	+	1479	29	3	8	18	28	7	22
SAOUHSC_00169	NC_007795.1	183435	184598	+	1164	1	8	3	10	2	0	2
SAOUHSC_00170	NC_007795.1	184615	186390	+	1776	1	2	9	2	2	7	17
SAOUHSC_00171	NC_007795.1	186428	188434	+	2007	91	14	30	27	32	48	123
SAOUHSC_00172	NC_007795.1	188732	189505	-	774	1	5	3	5	7	3	0
SAOUHSC_00173	NC_007795.1	189695	190321	-	627	0	10	5	8	20	1	2
SAOUHSC_00174	NC_007795.1	190530	191108	+	579	243	2	16	4	68	10	92
SAOUHSC_00175	NC_007795.1	191491	192588	+	1098	3	0	6	2	0	0	1
SAOUHSC_00176	NC_007795.1	192601	193872	+	1272	27	2	4	6	8	5	65
SAOUHSC_00177	NC_007795.1	193875	195143	+	1269	195	22	79	76	56	38	147
SAOUHSC_00178	NC_007795.1	195145	195984	+	840	122	2	61	24	20	30	187
SAOUHSC_00179	NC_007795.1	196058	197134	+	1077	19	0	10	17	30	21	136
SAOUHSC_00180	NC_007795.1	197159	198199	+	1041	108	20	66	60	53	29	91
SAOUHSC_00181	NC_007795.1	198254	199222	+	969	87	2	31	46	27	22	268
SAOUHSC_00182	NC_007795.1	199583	200155	-	573	0	5	13	1	1	1	4
SAOUHSC_00183	NC_007795.1	200310	201689	+	1380	5	0	70	5	14	14	24
SAOUHSC_00184	NC_007795.1	202048	202806	-	759	0	2	25	2	2	8	19
SAOUHSC_00185	NC_007795.1	202799	204355	-	1557	4	2	4	5	12	2	41
SAOUHSC_00186	NC_007795.1	204352	205320	-	969	1	0	15	5	2	5	23
SAOUHSC_00187	NC_007795.1	205908	208157	+	2250	7276	971	4909	5292	1741	2073	34531
SAOUHSC_00188	NC_007795.1	208180	208935	+	756	3103	281	2863	1589	432	624	16482
SAOUHSC_00190	NC_007795.1	209271	211034	+	1764	13	0	10	0	6	4	16
SAOUHSC_00191	NC_007795.1	211198	211542	-	345	0	11	0	0	1	0	0
SAOUHSC_00192	NC_007795.1	211732	213642	+	1911	7	9	5	14	1	18	9
SAOUHSC_00193	NC_007795.1	213824	213931	-	108	0	0	2	0	0	2	4
SAOUHSC_00195	NC_007795.1	214246	215430	-	1185	28565	1757	2136	94604	5670	2984	12321
SAOUHSC_00196	NC_007795.1	215460	217721	-	2262	16681	626	2314	57209	3168	2141	8564
SAOUHSC_00197	NC_007795.1	217907	219118	-	1212	5402	205	946	13895	1078	903	2990
SAOUHSC_00198	NC_007795.1	219230	220735	-	1506	5038	324	1042	15191	869	1053	6818
SAOUHSC_00199	NC_007795.1	220761	222338	-	1578	7020	748	1040	36297	3390	2594	10733
SAOUHSC_00200	NC_007795.1	222779	223921	+	1143	13	6	21	15	22	1	92
SAOUHSC_00201	NC_007795.1	224235	225647	-	1413	9	8	60	3	11	14	104
SAOUHSC_00202	NC_007795.1	225908	226264	-	357	4	0	0	0	1	0	29
SAOUHSC_00203	NC_007795.1	226421	226594	-	174	6	0	3	8	6	16	34
SAOUHSC_00204	NC_007795.1	226620	227765	-	1146	393	46	514	121	240	101	2032
SAOUHSC_00205	NC_007795.1	227920	228027	+	108	0	0	0	0	0	0	0
SAOUHSC_00206	NC_007795.1	228482	229291	+	810	2866	254	588	3175	1938	653	4364
SAOUHSC_00208	NC_007795.1	229502	229645	+	144	39	2	3	10	21	13	37
SAOUHSC_00209	NC_007795.1	229611	231140	-	1530	235	5	121	145	89	73	150
SAOUHSC_00211	NC_007795.1	231502	232437	+	936	30	8	3	7	2	17	35
SAOUHSC_00212	NC_007795.1	232547	232645	+	99	0	0	0	0	0	0	0
SAOUHSC_00213	NC_007795.1	232776	234872	+	2097	30	10	4	15	28	9	26
SAOUHSC_00214	NC_007795.1	234857	235324	+	468	1	0	0	1	0	0	0
SAOUHSC_00215	NC_007795.1	235347	235625	+	279	2	2	0	0	0	0	4
SAOUHSC_00216	NC_007795.1	235852	237111	+	1260	46	10	5	44	63	10	155
SAOUHSC_00217	NC_007795.1	237129	238184	+	1056	90	23	0	82	83	3	312
SAOUHSC_00218	NC_007795.1	238186	238332	+	147	2	3	4	2	2	1	38
SAOUHSC_00219	NC_007795.1	238356	239399	+	1044	193	73	62	374	402	350	908
SAOUHSC_00220	NC_007795.1	239969	240643	+	675	27	6	34	32	18	2	97
SAOUHSC_00221	NC_007795.1	240636	241661	+	1026	64	4	64	23	30	44	430
SAOUHSC_00222	NC_007795.1	241836	243377	+	1542	44	26	145	38	29	62	428
SAOUHSC_00223	NC_007795.1	243805	244974	+	1170	8	0	60	14	0	30	53
SAOUHSC_00225	NC_007795.1	245250	245966	+	717	41	7	87	33	30	22	96
SAOUHSC_00226	NC_007795.1	245959	246984	+	1026	114	47	153	154	114	88	339
SAOUHSC_00227	NC_007795.1	247006	248694	+	1689	818	362	1012	688	765	963	2938
SAOUHSC_00228	NC_007795.1	248727	250451	+	1725	86	145	455	73	200	247	692
SAOUHSC_00229	NC_007795.1	250591	251265	+	675	0	1	1	0	2	0	6
SAOUHSC_00230	NC_007795.1	251527	253266	+	1740	107	14	70	50	69	26	207
SAOUHSC_00231	NC_007795.1	253269	254009	+	741	0	0	2	4	0	1	10
SAOUHSC_00232	NC_007795.1	254122	254565	+	444	198	18	66	27	113	60	599
SAOUHSC_00233	NC_007795.1	254558	255259	+	702	250	23	94	32	148	63	777
SAOUHSC_00234	NC_007795.1	255367	256071	-	705	6	4	2	34	10	38	110
SAOUHSC_00235	NC_007795.1	256220	257011	+	792	38	0	0	16	0	59	9
SAOUHSC_00236	NC_007795.1	257027	258463	+	1437	258	14	324	116	15	356	1509
SAOUHSC_00237	NC_007795.1	258896	259657	-	762	249	14	137	47	11	89	454
SAOUHSC_00238	NC_007795.1	259676	259810	+	135	8	0	8	10	2	8	32
SAOUHSC_00239	NC_007795.1	259908	260822	-	915	93	5	35	30	40	76	205
SAOUHSC_00240	NC_007795.1	260850	261254	-	405	31	8	29	18	23	51	70
SAOUHSC_00241	NC_007795.1	261269	262150	-	882	175	38	104	206	67	108	408
SAOUHSC_00242	NC_007795.1	262382	263380	-	999	127	0	209	29	7	183	353
SAOUHSC_00243	NC_007795.1	263531	263710	+	180	0	0	3	0	0	1	0
SAOUHSC_00244	NC_007795.1	263760	264152	+	393	2	0	21	0	0	2	0
SAOUHSC_00246	NC_007795.1	264825	266201	-	1377	67	3	33	37	33	30	71
SAOUHSC_00247	NC_007795.1	266435	267427	+	993	51	12	49	146	90	26	85
SAOUHSC_00248	NC_007795.1	267753	268703	+	951	101	10	62	43	77	31	141
SAOUHSC_00249	NC_007795.1	268755	269414	-	660	12	0	0	14	6	0	8
SAOUHSC_00250	NC_007795.1	269428	270348	-	921	12	0	12	3	6	0	6
SAOUHSC_00251	NC_007795.1	270345	271511	-	1167	10	0	14	14	12	0	15
SAOUHSC_00253	NC_007795.1	271579	273102	-	1524	18	1	3	4	12	13	19
SAOUHSC_00254	NC_007795.1	273373	274026	+	654	0	0	0	0	0	0	2
SAOUHSC_00255	NC_007795.1	274060	274647	+	588	2	1	0	0	0	8	1
SAOUHSC_00256	NC_007795.1	274790	275683	-	894	54	4	4	36	10	14	110
SAOUHSC_00257	NC_007795.1	275931	276224	+	294	763	36	30	158	62	35	783
SAOUHSC_00258	NC_007795.1	276308	279337	+	3030	121	25	34	14	4	4	90
SAOUHSC_00259	NC_007795.1	279337	279795	+	459	4	0	2	3	1	0	1
SAOUHSC_00260	NC_007795.1	279728	280009	+	282	2	0	3	0	0	0	2
SAOUHSC_00261	NC_007795.1	280022	281356	+	1335	1	0	0	0	0	3	3
SAOUHSC_00262	NC_007795.1	281378	285817	+	4440	93	41	4	28	43	25	97
SAOUHSC_00264	NC_007795.1	285847	286239	+	393	0	0	0	0	0	0	0
SAOUHSC_00265	NC_007795.1	286255	286569	+	315	2	0	0	2	0	0	2
SAOUHSC_00266	NC_007795.1	286569	287243	+	675	3	6	0	0	3	6	2
SAOUHSC_00267	NC_007795.1	287243	287560	+	318	12	0	0	0	4	7	77
SAOUHSC_00268	NC_007795.1	287570	289414	+	1845	44	2	5	9	9	19	107
SAOUHSC_00269	NC_007795.1	289425	289916	+	492	0	0	0	0	1	0	0
SAOUHSC_00270	NC_007795.1	290124	290807	+	684	0	0	7	3	0	0	3
SAOUHSC_00271	NC_007795.1	290954	291565	+	612	4	0	46	2	2	0	0
SAOUHSC_00272	NC_007795.1	291701	291919	+	219	0	0	0	0	0	1	0
SAOUHSC_00274	NC_007795.1	292051	292551	+	501	0	0	0	0	0	0	3
SAOUHSC_00275	NC_007795.1	292562	293062	+	501	0	0	0	0	0	0	0
SAOUHSC_00276	NC_007795.1	293073	293573	+	501	0	0	0	0	0	0	0
SAOUHSC_00277	NC_007795.1	293584	294084	+	501	0	0	0	0	0	0	0
SAOUHSC_00278	NC_007795.1	294095	294583	+	489	4	0	0	0	6	0	0
SAOUHSC_00279	NC_007795.1	295206	295580	+	375	2	0	11	2	0	0	0
SAOUHSC_00280	NC_007795.1	295733	296131	+	399	0	0	14	7	1	0	24
SAOUHSC_00281	NC_007795.1	296347	297171	-	825	127	38	68	93	250	14	46
SAOUHSC_00282	NC_007795.1	297408	298685	-	1278	66	51	177	129	155	147	1089
SAOUHSC_00284	NC_007795.1	299299	300189	+	891	7	5	6	2	1	2	9
SAOUHSC_00285	NC_007795.1	300438	301487	+	1050	344	124	22	375	360	356	239
SAOUHSC_00287	NC_007795.1	301500	302177	+	678	394	93	82	255	222	139	162
SAOUHSC_00289	NC_007795.1	302336	302476	-	141	0	0	0	0	0	0	0
SAOUHSC_00290	NC_007795.1	302466	303416	+	951	116	53	333	194	59	103	228
SAOUHSC_00291	NC_007795.1	303759	304877	+	1119	4	0	0	1	6	4	27
SAOUHSC_00292	NC_007795.1	304852	305775	+	924	11	0	3	0	5	0	20
SAOUHSC_00293	NC_007795.1	305786	307006	+	1221	9	2	21	19	2	2	27
SAOUHSC_00294	NC_007795.1	307111	308643	-	1533	183	0	126	51	17	11	51
SAOUHSC_00295	NC_007795.1	308683	309564	-	882	31	3	36	4	11	14	56
SAOUHSC_00296	NC_007795.1	309722	310582	+	861	41	7	36	4	10	10	86
SAOUHSC_00297	NC_007795.1	310860	311660	-	801	144	66	114	81	71	108	489
SAOUHSC_00298	NC_007795.1	311800	312468	+	669	68	4	38	18	14	10	73
SAOUHSC_00299	NC_007795.1	312595	313908	-	1314	37	15	18	1735	18	18	463
SAOUHSC_00300	NC_007795.1	314326	316398	+	2073	215	184	431	3429	376	526	6471
SAOUHSC_00301	NC_007795.1	316640	317467	-	828	25	16	16	12	44	35	57
SAOUHSC_00302	NC_007795.1	317540	318739	-	1200	72	24	72	88	83	33	408
SAOUHSC_00303	NC_007795.1	318835	318927	+	93	0	0	0	0	3	0	0
SAOUHSC_00304	NC_007795.1	319041	320042	+	1002	6	0	8	17	9	55	152
SAOUHSC_00305	NC_007795.1	320076	320408	+	333	0	8	0	2	2	4	129
